Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
398,20247,00:29:24.214,1764.2149860370653,4.531001100109961
399,20299,00:29:28.745,1768.7459871371752,4.966674282812846
400,20356,00:29:33.712,1773.712661419988,7.3193094694086085
401,20440,00:29:41.031,1781.0319708893967,1.9169620038926496
402,20462,00:29:42.948,1782.9489328932893,1.8298273673519816
403,20483,00:29:44.778,1784.7787602606413,5.925155284759285
404,20551,00:29:50.703,1790.7039155454006,1.3070195481086557
405,20566,00:29:52.010,1792.0109350935093,3.1368469154608647
406,20602,00:29:55.147,1795.1477820089701,2.439769823136203
407,20630,00:29:57.587,1797.5875518321063,2.8754430058388607
408,20663,00:30:00.462,1800.4629948379452,2.526904459676871
409,20692,00:30:02.989,1802.989899297622,7.057905559786832
410,20773,00:30:10.047,1810.047804857409,5.489482102056172
411,20836,00:30:15.537,1815.537286959465,1.742692730811541
412,20856,00:30:17.279,1817.2799796902766,1.3941541846493237
413,20872,00:30:18.674,1818.674133874926,1.4812888211897643
414,20889,00:30:20.155,1820.1554226961157,1.3070195481086557
415,20904,00:30:21.462,1821.4624422442243,4.966674282812846
416,20961,00:30:26.429,1826.4291165270372,6.622232377083947
417,21037,00:30:33.051,1833.0513489041211,4.966674282812846
418,21094,00:30:38.018,1838.018023186934,3.921058644325967
419,21139,00:30:41.939,1841.93908183126,2.526904459676871
420,21168,00:30:44.465,1844.4659862909368,2.9625776423795287
421,21202,00:30:47.428,1847.4285639333164,38.3392400778539
422,21642,00:31:25.767,1885.7678040111703,5.4023474655157315
423,21704,00:31:31.170,1891.170151476686,7.667848015570826
424,21792,00:31:38.837,1898.8379994922568,18.559677583142957
425,22005,00:31:57.397,1917.3976770753998,3.8339240077855266
426,22049,00:32:01.231,1921.2316010831853,1.4812888211897643
427,22066,00:32:02.712,1922.712889904375,10.02048320216636
428,22181,00:32:12.733,1932.7333731065414,4.008193280866408
429,22227,00:32:16.741,1936.7415663874078,4.008193280866635
430,22273,00:32:20.749,1940.7497596682745,12.634522298383672
431,22418,00:32:33.384,1953.3842819666581,3.1368469154608647
432,22454,00:32:36.521,1956.521128882119,8.27779047135482
433,22549,00:32:44.798,1964.7989193534738,5.750886011677949
434,22615,00:32:50.549,1970.5498053651518,8.01638656173327
435,22707,00:32:58.566,1978.566191926885,10.456156384869246
436,22827,00:33:09.022,1989.0223483117543,5.57661673859684
437,22891,00:33:14.598,1994.5989650503511,4.618135736650629
438,22944,00:33:19.217,1999.2171007870018,13.418734027248775
439,23098,00:33:32.635,2012.6358348142505,2.7883083692986474
440,23130,00:33:35.424,2015.4241431835492,7.0579055597866045
441,23211,00:33:42.482,2022.4820487433358,1.742692730811541
442,23231,00:33:44.224,2024.2247414741473,2.178365913514426
443,23256,00:33:46.403,2026.4031073876617,2.7011737327579795
444,23287,00:33:49.104,2029.1042811204197,1.8298273673519816
445,23308,00:33:50.934,2030.9341084877717,1.6555580942711003
446,23327,00:33:52.589,2032.5896665820428,1.9169620038926496
447,23349,00:33:54.506,2034.5066285859355,5.315212828975291
448,23410,00:33:59.821,2039.8218414149108,3.6596547347041906
449,23452,00:34:03.481,2043.481496149615,1.3070195481086557
450,23467,00:34:04.788,2044.7885156977236,2.6140390962173115
451,23497,00:34:07.402,2047.402554793941,5.57661673859684
452,23561,00:34:12.979,2052.9791715325377,2.352635186595762
453,23588,00:34:15.331,2055.3318067191335,4.966674282812619
454,23645,00:34:20.298,2060.298481001946,3.57252009816375
455,23686,00:34:23.871,2063.87100110011,3.398250825082414
456,23725,00:34:27.269,2067.2692519251923,4.008193280866635
457,23771,00:34:31.277,2071.277445206059,5.228078192434623
458,23831,00:34:36.505,2076.5055233984936,3.3111161885422007
459,23869,00:34:39.816,2079.8166395870358,4.531001100109734
460,23921,00:34:44.347,2084.3476406871455,1.829827367352209
461,23942,00:34:46.177,2086.1774680544977,2.4397698231359755
462,23970,00:34:48.617,2088.6172378776337,2.7883083692986474
463,24002,00:34:51.405,2091.4055462469323,2.091231276973758
464,24026,00:34:53.496,2093.496777523906,7.232174832868168
465,24109,00:35:00.728,2100.7289523567742,2.2655005500546395
466,24135,00:35:02.994,2102.994452906829,4.879539646272406
467,24191,00:35:07.873,2107.8739925531013,8.626329017517492
468,24290,00:35:16.500,2116.500321570619,8.4520597444357
469,24387,00:35:24.952,2124.9523813150545,2.8754430058393154
470,24420,00:35:27.827,2127.827824320894,4.443866463569066
471,24471,00:35:32.271,2132.271690784463,3.0497122789201967
472,24506,00:35:35.321,2135.321403063383,3.3111161885422007
473,24544,00:35:38.632,2138.6325192519253,29.27723787763398
474,24880,00:36:07.909,2167.9097571295592,5.053808919353287
475,24938,00:36:12.963,2172.9635660489125,10.456156384869246
476,25058,00:36:23.419,2183.4197224337818,2.6140390962173115
477,25088,00:36:26.033,2186.033761529999,3.833924007785299
478,25132,00:36:29.867,2189.8676855377844,4.269597190488184
479,25181,00:36:34.137,2194.1372827282726,4.531001100110188
480,25233,00:36:38.668,2198.6682838283828,3.746789371244631
481,25276,00:36:42.415,2202.4150731996274,12.111714479140574
482,25415,00:36:54.526,2214.526787678768,1.655558094270873
483,25434,00:36:56.182,2216.182345773039,1.3070195481086557
484,25449,00:36:57.489,2217.4893653211475,2.7011737327579795
485,25480,00:37:00.190,2220.1905390539055,2.6140390962173115
486,25510,00:37:02.804,2222.804578150123,2.178365913514426
487,25535,00:37:04.982,2224.982944063637,1.829827367352209
488,25556,00:37:06.812,2226.8127714309894,4.095327917406848
489,25603,00:37:10.908,2230.9080993483963,4.44386646356952
490,25654,00:37:15.351,2235.351965811966,2.4397698231359755
491,25682,00:37:17.791,2237.7917356351018,2.004096640433545
492,25705,00:37:19.795,2239.7958322755353,2.7011737327579795
493,25736,00:37:22.497,2242.4970060082933,3.223981552001078
494,25773,00:37:25.720,2245.7209875602944,1.916962003892877
495,25795,00:37:27.637,2247.6379495641872,1.481288821189537
496,25812,00:37:29.119,2249.119238385377,3.659654734704418
497,25854,00:37:32.778,2252.778893120081,2.4397698231359755
498,25882,00:37:35.218,2255.218662943217,3.485385461623082
499,25922,00:37:38.704,2258.7040484048403,4.792405009731738
500,25977,00:37:43.496,2263.496453414572,4.095327917407303
501,26024,00:37:47.591,2267.5917813319793,1.3070195481086557
502,26039,00:37:48.898,2268.898800880088,1.655558094270873
503,26058,00:37:50.554,2270.554358974359,1.655558094270873
504,26077,00:37:52.209,2272.2099170686297,4.356731827028852
505,26127,00:37:56.566,2276.5666488956585,13.59300330033011
506,26283,00:38:10.159,2290.1596521959887,6.273693830921729
507,26355,00:38:16.433,2296.4333460269104,3.2239815520015327
508,26392,00:38:19.657,2299.657327578912,5.925155284759057
509,26460,00:38:25.582,2305.582482863671,2.178365913514426
510,26485,00:38:27.760,2307.7608487771854,1.3070195481086557
511,26500,00:38:29.067,2309.067868325294,1.3941541846493237
512,26516,00:38:30.462,2310.4620225099434,2.091231276973758
513,26540,00:38:32.553,2312.553253786917,1.829827367352209
514,26561,00:38:34.383,2314.3830811542693,2.7011737327579795
515,26592,00:38:37.084,2317.0842548870273,2.6140390962173115
516,26622,00:38:39.698,2319.6982939832446,1.8298273673517542
517,26643,00:38:41.528,2321.5281213505964,2.265500550055094
518,26669,00:38:43.793,2323.7936219006515,3.3111161885422007
519,26707,00:38:47.104,2327.1047380891937,3.13684691546041
520,26743,00:38:50.241,2330.241585004654,6.360828467462397
521,26816,00:38:56.602,2336.6024134721165,1.9169620038924222
522,26838,00:38:58.519,2338.519375476009,2.7883083692986474
523,26870,00:39:01.307,2341.3076838453076,1.829827367352209
524,26891,00:39:03.137,2343.13751121266,2.8754430058388607
525,26924,00:39:06.012,2346.0129542184986,3.3111161885422007
526,26962,00:39:09.324,2349.324070407041,4.095327917406848
